區別,幼兒園名稱,核准設立日期,設立許可文號,幼兒園電話,幼兒園住址,核定總招收人數
北區,臺南市北區賢北國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060919098C號,(06)3501433#700,[704]臺南市北區賢北里15鄰大興街599號,30
安南區,臺南市立第四幼兒園安順分班,2008/02/05,南市社兒字第09713515940號,(06)3563074,[709]臺南市安南區安順里14鄰總安街1 段146巷90號,60
安南區,臺南市安南區安順國民小學附設幼兒園,1994/07/01,南市教國字第11623號,(06)3559451#891,[709]臺南市安南區安順里12鄰安和路三段193號,120
安南區,臺南市立第四幼兒園大同分班,2007/11/28,南市社兒字第09613618110號,(06)3561190,[709]臺南市安南區塭南里19鄰安昌街106巷24號,46
安南區,臺南市立第四幼兒園州南分班,2008/01/16,南市社兒字第09713507440號,(06)3552744,[709]臺南市安南區州南里4鄰安和路4段537巷48號,30
安南區,臺南市安南區和順國民小學附設幼兒園,1981/10/09,南市教國字第67279號,(06)3554629#181,[709]臺南市安南區州北里14鄰安和路五段178巷5號,120
安南區,臺南市立第四幼兒園頂安分班,2007/11/28,南市社兒字第09613618070號,(06)2463104,[709]臺南市安南區頂安里5鄰怡安路1段385巷40號,60
安南區,臺南市立第四幼兒園安慶分班,2007/11/28,南市社兒字第09613618130號,(06)2463140,[709]臺南市安南區安慶里6鄰長溪路1段168巷133號,30
安南區,臺南市立第四幼兒園原佃分班,2007/11/28,南市社兒字第09613616980號,(06)2550407,[709]臺南市安南區原佃里6鄰本原街一段167巷36弄46號,30
安南區,臺南市立第四幼兒園總頭分班,2008/08/01,南市社兒字第09713594490號,(06)2463045,[709]臺南市安南區總頭里6鄰長溪路2段570巷81弄14號,30
安南區,臺南市立第四幼兒園,2001/08/20,南市社兒字第227225號,(06)2471265,[709]臺南市安南區長安里17鄰長溪路3段247號,60
安南區,臺南市安南區長安國民小學附設幼兒園,2001/05/03,南市教特字第213842號,(06)2462688,[709]臺南市安南區長安里17鄰長溪路3段249號,30
安南區,臺南市立第五幼兒園,2009/07/08,南市社兒字第09813631940號,(06)2464192,[709]臺南市安南區海東里8鄰海佃路2段509巷65號,90
安南區,臺南市立第五幼兒園淵西分班,2009/07/08,南市社兒字第09813631920號,(06)2463075,[709]臺南市安南區淵西里10鄰安中路4段318號,30
安南區,臺南市立第五幼兒園十二佃分班,2001/08/29,南市社兒字第228014號,(06)2471233,[709]臺南市安南區佃東里13鄰公學路四段325號,30
安南區,臺南市安南區安佃國民小學附設幼兒園,1997/02/15,南市教國字第04955號,(06)2567642#301,[709]臺南市安南區佃西里13鄰海佃路四段493號,30
安南區,臺南市安南區南興國民小學附設幼兒園,2020/08/01,南市教特(一)字第1091065256E號,(06)2873204#102,[709]臺南市安南區南興里10鄰公學路五段627號,30
安南區,臺南市安南區學東國民小學附設幼兒園,2010/06/23,南市教特字第09912545280號,(06)2870017#27,[709]臺南市安南區學東里9鄰公學路六段589號,30
安南區,臺南市安南區土城國民小學附設幼兒園,2002/02/27,南市教特字第09102072010號,(06)2577645#880,[709]臺南市安南區城東里13鄰城北路195號,30
安南區,臺南市立第六幼兒園,2001/09/10,南市社兒字第229403號,(06)2572510,[709]臺南市安南區城中里4鄰安中路6段519巷31號,46
安南區,臺南市立第六幼兒園城南分班,2008/08/29,南市社兒字第09713608800號,(06)2572569,[709]臺南市安南區城南里4鄰城西街1段181巷3號,30
安南區,臺南市安南區青草國民小學附設幼兒園,1993/01/18,南市教國字第01546號,(06)2577631#830,[709]臺南市安南區青草里1鄰青砂街二段105巷32號,30
安南區,臺南市立第六幼兒園砂崙分班,2008/08/29,南市社兒字第09713608790號,(06)2571094,[709]臺南市安南區砂崙里2鄰城北路871巷94弄17號,30
安南區,臺南市立第六幼兒園顯宮分班,2010/03/18,南市社兒字第0991358012號,(06)2840227,[709]臺南市安南區顯宮里9鄰媽祖宮五街10號,30
安南區,臺南市安南區顯宮國民小學附設幼兒園,1994/01/14,南市教國字第01295號,(06)2841723#701,[709]臺南市安南區鹿耳里3鄰顯宮二街1號,30
安南區,臺南市安南區鎮海國民小學附設幼兒園,1999/08/01,南市教國字第20516號,(06)2841700#701,[709]臺南市安南區四草里3鄰大眾路381號,45
安南區,臺南市安南區安慶國民小學附設幼兒園,1994/01/14,南市教國字第11623號,(06)2460334#1732,[709]臺南市安南區梅花里16鄰安中路一段703巷80號,90
安南區,臺南市立海佃國民中學附設幼兒園,2017/08/01,南市教特(一)字第1060891007H號,(06)3507486#201,[709]臺南市安南區溪東里45鄰安富街166號,30
安南區,臺南市安南區海東國民小學附設幼兒園,1985/07/19,南市教國字第66677號,(06)2557531#10,[709]臺南市安南區淵中里1鄰安中路三段381號,120
安南區,臺南市立九份子國民中小學附設幼兒園,2021/08/01,南市教特(一)字第1101058403H號,(06)3507779,[709]臺南市安南區國安里9鄰九份子大道8號,60
安平區,臺南市立第三幼兒園,2001/09/13,南市社兒字第229877號,(06)2287047,[708]臺南市安平區石門里8鄰安北路42號,60
安平區,臺南市安平區石門國民小學附設幼兒園,1999/06/24,南市教國字第20516號,(06)2292498,[708]臺南市安平區石門里19鄰安平路700號,30
安平區,臺南市安平區新南國民小學附設幼兒園,1974/08/27,南市教二字第45807號,(06)2973058,[708]臺南市安平區建平里17鄰怡平路6號,120
安平區,臺南市安平區安平國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)2996735#899,[708]臺南市安平區怡平里20鄰怡平路392號,120
安平區,臺南市安平區億載國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060891007F號,(06)2932371#713,[708]臺南市安平區億載里8鄰郡平路310號,60
安平區,臺南市立第三幼兒園伍德分班,2010/03/18,南市社兒字第0991358017號,(06)2287429,[708]臺南市安平區港仔里17鄰運河路13巷9號,30
中西區,臺南市中西區成功國民小學附設幼兒園,1988/03/17,省府教四字第42294號,(06)2294395#12,[700]臺南市中西區赤嵌里23鄰成功路235號,90
中西區,國立臺南大學附設實驗國民小學附設幼兒園,1949/07/01,教國字第11623號,(06)2132566#600,[700]臺南市中西區郡王里1鄰樹林街二段31號,128
中西區,臺南市立中山國民中學附設幼兒園,2017/08/01,南市教特(一)字第1060919098G號,(06)2134792,[700]臺南市中西區大南里6鄰南寧街45號,30
中西區,臺南市中西區進學國民小學附設幼兒園,1978/08/28,南市教國字第46058號,(06)2130643,[700]臺南市中西區進學里1鄰南寧街47號,90
中西區,臺南市立第一幼兒園,1946/05/01,致申文市教字第0307號,(06)2135779,[700]臺南市中西區進學里20鄰南門路26之1號,144
中西區,臺南市中西區忠義國民小學附設幼兒園,1976/07/26,南市教二字第39210號,(06)2222768#802,[700]臺南市中西區永華里18鄰忠義路二段2號,90
中西區,臺南市中西區協進國民小學附設幼兒園,1953/08/01,教國二字第13933號,(06)2202173,[700]臺南市中西區協進里1鄰金華路四段17號,270
