序號,區別,幼兒園名稱,幼兒園電話,幼兒園住址,核定總招收數,核准設立日期,設立許可文號,類型
169,南區,臺南市立第三幼兒園灣裡分班,(06)2625564,[702]臺南市南區永寧里21鄰灣裡路263巷41號,60,2009/07/08,南市社兒字第09813631950號,公立
170,北區,臺南市北區開元國民小學附設幼兒園,(06)2375509#305,[704]臺南市北區勝安里3鄰開元路71巷32號,120,1993/01/18,南市教國字第01546號,公立
171,北區,臺南市北區大光國民小學附設幼兒園,(06)2518465#111,[704]臺南市北區光武里1鄰長榮路五段277號,120,1993/01/18,南市教國字第01546號,公立
172,北區,臺南市立小康幼兒園文元分班,(06)2596027,[704]臺南市北區文元里15鄰和緯路3段370號,30,2009/07/10,南市社兒字第09813634100號,公立
173,北區,臺南市北區文元國民小學附設幼兒園,(06)3586942#808,[704]臺南市北區文元里6鄰海安路三段815號,30,2000/07/11,南市教特字第046122號,公立
174,北區,臺南市北區大港國民小學附設幼兒園,(06)2505489,[704]臺南市北區大港里21鄰大港街146號,90,2005/03/28,南市教特字第09412512560號,公立
175,北區,臺南市北區立人國民小學附設幼兒園,(06)2286683,[704]臺南市北區安民里9鄰西門路三段41號,150,1949/07/01,南市教字第8501號,公立
176,北區,臺南市北區公園國民小學附設幼兒園,(06)2223291#780,[704]臺南市北區公園里18鄰公園路180號,150,1995/01/26,南市教國字第02585號,公立
177,北區,臺南市立小康幼兒園,(06)2815947,[704]臺南市北區永祥里16鄰大武街502巷1號,60,2001/08/20,南市社兒字第227226號,公立
178,北區,臺南市北區賢北國民小學附設幼兒園,(06)3501433#700,[704]臺南市北區賢北里15鄰大興街599號,30,2017/08/01,南市教特(一)字第1060919098C號,公立
179,安南區,臺南市立第四幼兒園新順分班,(06)3563074,[709]臺南市安南區安順里14鄰總安街1 段146巷90號,30,2008/02/05,南市社兒字第09713515940號,公立
180,安南區,臺南市安南區安順國民小學附設幼兒園,(06)3559451#891,[709]臺南市安南區安順里12鄰安和路三段193號,60,1994/07/01,南市教國字第11623號,公立
181,安南區,臺南市立第四幼兒園大同分班,(06)3561190,[709]臺南市安南區塭南里19鄰安昌街106巷24號,30,2007/11/28,南市社兒字第09613618110號,公立
182,安南區,臺南市立第四幼兒園州南分班,(06)3552744,[709]臺南市安南區州南里4鄰安和路4段537巷48號,30,2008/01/16,南市社兒字第09713507440號,公立
183,安南區,臺南市安南區和順國民小學附設幼兒園,(06)3554629#180,[709]臺南市安南區州北里14鄰安和路五段178巷5號,120,1981/10/09,南市教國字第67279號,公立
184,安南區,臺南市立第四幼兒園頂安分班,(06)2463104,[709]臺南市安南區頂安里5鄰怡安路1段385巷40號,60,2007/11/28,南市社兒字第09613618070號,公立
185,安南區,臺南市立第四幼兒園安慶分班,(06)2463140,[709]臺南市安南區安慶里6鄰長溪路1段168巷133號,30,2007/11/28,南市社兒字第09613618130號,公立
186,安南區,臺南市立第四幼兒園原佃分班,(06)2550407,[709]臺南市安南區原佃里6鄰本原街一段167巷36弄46號,30,2007/11/28,南市社兒字第09613616980號,公立
187,安南區,臺南市立第四幼兒園總頭分班,(06)2463045,[709]臺南市安南區總頭里6鄰長溪路2段570巷81弄14號,30,2008/08/01,南市社兒字第09713594490號,公立
188,安南區,臺南市立第四幼兒園,(06)2471265,[709]臺南市安南區長安里17鄰長溪路3段247號,60,2001/08/20,南市社兒字第227225號,公立
189,安南區,臺南市安南區長安國民小學附設幼兒園,(06)2462688,[709]臺南市安南區長安里17鄰長溪路3段249號,30,2001/05/03,南市教特字第213842號,公立
190,安南區,臺南市立第四幼兒園公親分班,(06)3571385,[709]臺南市安南區公親里9鄰公學路一段211號,30,2009/07/07,南市社兒字第09813631400號,公立
191,安南區,臺南市立第五幼兒園,(06)2464192,[709]臺南市安南區海東里8鄰海佃路2段509巷65號,90,2009/07/08,南市社兒字第09813631940號,公立
192,安南區,臺南市立第五幼兒園淵西分班,(06)2463075,[709]臺南市安南區淵西里10鄰安中路4段318號,30,2009/07/08,南市社兒字第09813631920號,公立
193,安南區,臺南市立第五幼兒園十二佃分班,(06)2471233,[709]臺南市安南區佃東里13鄰公學路四段325號,30,2001/08/29,南市社兒字第228014號,公立
194,安南區,臺南市安南區安佃國民小學附設幼兒園,(06)2567642#301,[709]臺南市安南區佃西里13鄰海佃路四段493號,30,1997/02/15,南市教國字第04955號,公立
195,安南區,臺南市立第六幼兒園南興分班,(06)2872675,[709]臺南市安南區南興里3鄰安興街437號,30,2009/03/27,南市社兒字第09813563240號,公立
196,安南區,臺南市安南區學東國民小學附設幼兒園,(06)2870017#27,[709]臺南市安南區學東里9鄰公學路六段589號,30,2010/06/23,南市教特字第09912545280號,公立
197,安南區,臺南市安南區土城國民小學附設幼兒園,(06)2577645#880,[709]臺南市安南區城東里13鄰城北路195號,30,2002/02/27,南市教特字第09102072010號,公立
198,安南區,臺南市立第六幼兒園,(06)2572510,[709]臺南市安南區城中里4鄰安中路6段519巷31號,30,2001/09/10,南市社兒字第229403號,公立
199,安南區,臺南市立第六幼兒園城南分班,(06)2572569,[709]臺南市安南區城南里4鄰城西街1段181巷3號,30,2008/08/29,南市社兒字第09713608800號,公立
200,安南區,臺南市安南區青草國民小學附設幼兒園,(06)2577631#830,[709]臺南市安南區青草里1鄰青砂街二段105巷32號,30,1993/01/18,南市教國字第01546號,公立
201,安南區,臺南市立第六幼兒園砂崙分班,(06)2571094,[709]臺南市安南區砂崙里2鄰城北路871巷94弄17號,30,2008/08/29,南市社兒字第09713608790號,公立
202,安南區,臺南市立第六幼兒園顯宮分班,(06)2840227,[709]臺南市安南區顯宮里9鄰媽祖宮五街10號,30,2010/03/18,南市社兒字第0991358012號,公立
203,安南區,臺南市安南區顯宮國民小學附設幼兒園,(06)2841723#701,[709]臺南市安南區鹿耳里3鄰顯宮二街1號,30,1994/01/14,南市教國字第01295號,公立
204,安南區,臺南市立第六幼兒園四草分班,(06)2840226,[709]臺南市安南區四草里1鄰大眾六街42巷17號,30,2009/03/27,南市社兒字第09813563290號,公立
205,安南區,臺南市安南區鎮海國民小學附設幼兒園,(06)2841700#701,[709]臺南市安南區四草里3鄰大眾路381號,30,1999/08/01,南市教國字第20516號,公立
206,安南區,臺南市安南區安慶國民小學附設幼兒園,(06)2460334#1732,[709]臺南市安南區梅花里16鄰安中路一段703巷80號,90,1994/01/14,南市教國字第11623號,公立
207,安南區,臺南市立海佃國民中學附設幼兒園,(06)3507486#201,[709]臺南市安南區溪東里45鄰安富街166號,30,2017/08/01,南市教特(一)字第1060891007H號,公立
208,安南區,臺南市安南區海東國民小學附設幼兒園,(06)2557531#10,[709]臺南市安南區淵中里1鄰安中路三段381號,120,1985/07/19,南市教國字第66677號,公立
209,安平區,臺南市立第三幼兒園,(06)2287047,[708]臺南市安平區石門里8鄰安北路42號,60,2001/09/13,南市社兒字第229877號,公立
210,安平區,臺南市安平區石門國民小學附設幼兒園,(06)2292498,[708]臺南市安平區石門里19鄰安平路700號,30,1999/06/24,南市教國字第20516號,公立
211,安平區,臺南市安平區新南國民小學附設幼兒園,(06)2973058,[708]臺南市安平區建平里17鄰怡平路6號,120,1974/08/27,南市教二字第45807號,公立
212,安平區,臺南市安平區安平國民小學附設幼兒園,(06)2996735#899,[708]臺南市安平區怡平里20鄰怡平路392號,60,2012/08/01,南市教幼字第1010673070號,公立
213,安平區,臺南市安平區億載國民小學附設幼兒園,(06)2932371#713,[708]臺南市安平區億載里8鄰郡平路310號,30,2017/08/01,南市教特(一)字第1060891007F號,公立
214,安平區,臺南市立第三幼兒園伍德分班,(06)2287429,[708]臺南市安平區港仔里17鄰運河路13巷9號,30,2010/03/18,南市社兒字第0991358017號,公立
215,中西區,臺南市中西區成功國民小學附設幼兒園,(06)2294395#12,[700]臺南市中西區赤嵌里23鄰成功路235號,90,1988/03/17,省府教四字第42294號,公立
216,中西區,國立臺南大學附設實驗國民小學附設幼兒園,(06)2132566#600,[700]臺南市中西區郡王里1鄰樹林街二段31號,128,1949/07/01,教國字第11623號,公立
217,中西區,臺南市立中山國民中學附設幼兒園,(06)2134792,[700]臺南市中西區大南里6鄰南寧街45號,30,2017/08/01,南市教特(一)字第1060919098G號,公立
218,中西區,臺南市中西區進學國民小學附設幼兒園,(06)2130643,[700]臺南市中西區進學里1鄰南寧街47號,90,1978/08/28,南市教國字第46058號,公立
219,中西區,臺南市立第一幼兒園,(06)2135779,[700]臺南市中西區進學里20鄰南門路26之1號,128,1946/05/01,致申文市教字第0307號,公立
220,中西區,臺南市中西區忠義國民小學附設幼兒園,(06)2222768#801,[700]臺南市中西區永華里18鄰忠義路二段2號,90,1976/07/26,南市教二字第39210號,公立
221,中西區,臺南市中西區協進國民小學附設幼兒園,(06)2202173,[700]臺南市中西區協進里1鄰金華路四段17號,270,1953/08/01,教國二字第13933號,公立
222,新營區,臺南市私立萬是幼兒園,(06)6370106,[730]臺南市新營區民權里17鄰武昌街34號,170,1998/04/14,府社福字第064091號,私立
223,新營區,臺南市私立哈佛幼兒園,(06)6569481,[730]臺南市新營區三仙里30鄰育德十一街37號,100,1992/09/22,府社福字第127993號,私立
224,新營區,臺南市私立立上幼兒園,(06)6329771,[730]臺南市新營區大宏里8鄰文昌街40號,75,1991/04/12,府社福字第43253號,私立
225,新營區,財團法人天主教聖母無原罪方濟傳教修女會附設臺南市私立樂仁幼兒園,(06)6323733,[730]臺南市新營區大宏里8鄰民族路8號,240,1974/10/03,南府教國字第97536號,私立
226,新營區,大臺南婦女會附設臺南市私立幼兒園,(06)6569016,[730]臺南市新營區民生里7鄰民生路163巷16號、18號,80,1992/12/18,府社福字第177776號,私立
227,新營區,財團法人佛光山文教基金會附設臺南市私立小天星幼兒園,(06)6373151,[730]臺南市新營區埤寮里15鄰長榮路一段510號,240,2000/11/14,府教特字第184252號,私立
228,新營區,臺南市私立新天使幼兒園,(06)6359856,[730]臺南市新營區護鎮里2鄰中正路479巷45號,180,2004/01/28,府教特字第0930015763號,私立
229,新營區,臺南市私立大華幼兒園,(06)6529758,[730]臺南市新營區太北里1鄰太子宮1-11號,120,1984/03/12,府教國字第22979號,私立
230,新營區,臺南市私立愛群幼兒園,(06)6572988,[730]臺南市新營區新北里29鄰金華路二段81號,150,2001/07/30,府教特字第111120號,私立
231,新營區,臺南市新營區農會附設臺南市私立幼兒園,(06)6561820,[730]臺南市新營區新北里13鄰周武街79巷21弄6號,80,2011/09/23,府社兒字第1000679783號,私立
232,新營區,臺南市私立大自然幼兒園,(06)6564726,[730]臺南市新營區新南里28鄰明清二街46號,60,1998/07/22,府社福字第129640號,私立
233,新營區,臺南市私立新營小太陽幼兒園,(06)6568889,[730]臺南市新營區新南里17鄰隋唐街69巷22號,180,1995/03/22,府教國字第044305號,私立
234,新營區,臺南市私立小太陽東興幼兒園,(06)6352221,[730]臺南市新營區新東里28鄰東興九街56號,211,1999/12/10,府教國字第211499號,私立
235,鹽水區,臺南市私立新育人幼兒園,(06)6529315,[737]臺南市鹽水區岸內里7鄰和平路632巷6弄15號,35,2000/10/05,府社福字第161743號,私立
236,鹽水區,臺南市私立大衛營幼兒園,(06)6531110,[737]臺南市鹽水區岸內里7鄰和平路335號,180,1997/03/08,府教國字第39186號,私立
237,白河區,臺南市私立舉人幼兒園,(06)6830201,[732]臺南市白河區白河里3鄰富民路37號,100,1994/10/28,府社福字第175849號,私立
238,白河區,臺南市白河區農會附設臺南市私立幼兒園,(06)6830590,[732]臺南市白河區永安里18鄰新厝子71-127號,130,2000/05/30,府社福字第84387號,私立
239,白河區,臺南市私立日光幼兒園,(06)6856811,[732]臺南市白河區庄內里7鄰中山路491號,130,2006/03/20,府社福字第0950057889號,私立
240,白河區,臺南市私立金典幼兒園,(06)6830033,[732]臺南市白河區庄內里7鄰中山路652號,60,2017/05/02,南市教特(一)字第1060430540號,私立
241,柳營區,臺南市私立小袋鼠幼兒園,(06)6225104,[736]臺南市柳營區光福里13鄰柳營路二段70號,50,2002/05/15,府社福字第0910077373號,私立
242,柳營區,臺南市私立欣榮幼兒園,(06)6222456,[736]臺南市柳營區光福里25鄰132-12號,150,1982/05/03,府教國字第39097號,私立
243,柳營區,臺南市私立夏綠蒂幼兒園,(09)81922999,[736]臺南市柳營區東昇里23鄰中山西路一段302號,90,2007/01/19,府社福字第0960018154號,私立
244,柳營區,臺南市私立華一幼兒園,(06)6223123,[736]臺南市柳營區八翁里13鄰中山西路三段490巷27號,100,1993/12/31,府社福字第204447號,私立
245,柳營區,臺南市私立貝特幼兒園,(06)6235197,[736]臺南市柳營區篤農里19鄰義士路ㄧ段661號,90,2007/06/05,府教特字第0960121172號,私立
246,後壁區,臺南市私立開心幼兒園,(06)6872793,[731]臺南市後壁區後壁里6鄰173-15號,150,1992/11/13,府社福字第156633號,私立
247,後壁區,臺南市私立名人幼兒園,(06)6881063,[731]臺南市後壁區嘉田里9鄰89-5號,100,1985/01/12,府社福字第145788號,私立
248,東山區,臺南市私立幸福幼兒園,(06)6803111,[733]臺南市東山區東山里21鄰東山320號,300,2003/06/09,府社福字第0920093186號,私立
249,東山區,臺南市私立領袖學院慈仁幼兒園,(06)6800853,[733]臺南市東山區大客里20鄰凹仔腳47號,180,1992/03/21,府社福字第36472號,私立
250,麻豆區,臺南市私立麻豆樂人幼兒園,(06)5722142,[721]臺南市麻豆區穀興里13鄰中華街22號,150,1982/04/01,府教國字第27602號,私立
251,麻豆區,臺南市私立翌愛幼兒園,(06)5720539,[721]臺南市麻豆區晋江里9鄰民權路70-31號,67,2001/07/31,府社福字第111289號,私立
252,麻豆區,臺南市私立皮卡丘幼兒園,(06)5726969,[721]臺南市麻豆區巷口里9鄰新生南路672號,80,1992/01/20,府社福字第8923號,私立
253,麻豆區,國立曾文高級家事商業職業學校附設臺南市私立幼兒園,(06)5712484,[721]臺南市麻豆區中興里16鄰和平路9號,90,2001/03/21,府社福字第41516號,私立
254,麻豆區,臺南市私立心欣幼兒園,(06)5727622,[721]臺南市麻豆區興農里3鄰新生南路375號,120,1982/02/17,府教國字第10067號,私立
255,麻豆區,臺南市私立福祐幼兒園,(06)5720101,[721]臺南市麻豆區南勢里2鄰關帝廟14-18號,204,1999/01/21,府社福字第13259號,私立
256,麻豆區,臺南市私立大地暘光幼兒園,(06)5700657,[721]臺南市麻豆區港尾里15鄰客子寮293號,80,2011/09/16,府社兒字第1000679638號,私立
257,麻豆區,臺南市私立小天使幼兒園,(06)5720359,[721]臺南市麻豆區磚井里13鄰140-38號,100,1988/04/01,府社福字第37170號,私立
258,下營區,臺南市私立群英幼兒園,(06)6891234,[735]臺南市下營區仁里里22鄰仁里街122巷23號,120,1983/06/02,府教國字第55793號,私立
259,下營區,臺南市私立小圓圓幼兒園,(06)6893112,[735]臺南市下營區新興里11鄰大同街22巷11號、大同街10、12號,230,1993/05/20,府社福字第74595號,私立
260,下營區,臺南市私立欽智幼兒園,(06)6899607,[735]臺南市下營區營前里21鄰健康路221巷22號,100,1995/12/11,府社福字第199563號,私立
261,六甲區,臺南市私立佑幼幼兒園,(06)6989651,[734]臺南市六甲區甲南里5鄰珊瑚路37號,120,1994/06/09,府社福字第89224號,私立
262,六甲區,臺南市私立安心幼兒園,(06)6994517,[734]臺南市六甲區二甲里21鄰光復街76巷25號,90,1998/03/17,府教國字第047387號,私立
263,六甲區,臺南市私立哈比斯特幼兒園,(06)6984678,[734]臺南市六甲區二甲里15鄰光明街23號,120,1983/10/19,府社福字第105366號,私立
264,官田區,臺南市私立史丹佛幼兒園,(06)6994999,[720]臺南市官田區二鎮里13鄰56-39號,260,2002/01/31,府社福字第910018041號,私立
265,官田區,臺南市私立小森林成長幼兒園,(06)6989716,[720]臺南市官田區二鎮里8鄰二鎮69之68號,220,1997/06/24,府教國字第108070號,私立
266,官田區,臺南市私立健光幼兒園,(06)5790079,[720]臺南市官田區隆本里15鄰興隆街145號,105,1988/01/18,府教國字第7561號,私立
267,官田區,臺南市私立培德幼兒園,(06)5791294,[720]臺南市官田區隆本里15鄰興隆街101號,90,1978/10/19,府教國字第109360號,私立
268,佳里區,臺南市私立正心幼兒園,(06)7224186,[722]臺南市佳里區忠仁里5鄰中山路158號,150,1974/07/12,南府教國字第65791號,私立
269,佳里區,臺南市私立維多利亞幼兒園,(06)7222126,[722]臺南市佳里區建南里21鄰祥和五街71號,95,2000/01/11,府社福字第5676號,私立
270,佳里區,臺南市私立佳里劍橋幼兒園,(06)7214147,[722]臺南市佳里區建南里26鄰公園路12號,120,1996/03/27,府教國字第050700號,私立
271,佳里區,臺南市私立善行幼兒園,(06)7221537,[722]臺南市佳里區建南里1鄰中和街92號,60,1979/10/16,府教國字第101498號,私立
272,佳里區,臺南市私立勁寶兒唯馨幼兒園,(06)7223189,[722]臺南市佳里區安西里30鄰光華街130巷47弄50號,120,2006/12/12,府教特字第0950264392號,私立
273,佳里區,臺南市私立威爾森佳里幼兒園,(06)7215811,[722]臺南市佳里區安西里23鄰49-41號,150,1999/11/16,府教國字第197448號,私立
274,佳里區,臺南市私立佳里崧安幼兒園,(06)7235691,[722]臺南市佳里區安西里36鄰佳西路392號,120,1995/11/22,府社福字第189122號,私立
275,佳里區,臺南市私立立人幼兒園,(06)7230575,[722]臺南市佳里區安西里30鄰76-2號,127,1986/12/11,府教國字第145772號,私立
276,佳里區,臺南市私立佳祥幼兒園,(06)7226883,[722]臺南市佳里區安西里20鄰公園路509號,60,1996/10/14,府社福字第178356號,私立
277,佳里區,臺南市私立聖三幼兒園,(06)7211964,[722]臺南市佳里區安西里9鄰和平街155號,120,1978/12/21,府教國字第136448號,私立
278,佳里區,臺南市私立佳佳幼兒園,(06)7221989,[722]臺南市佳里區文新里9鄰121-2號,242,1982/12/17,府教國字第133737號,私立
279,佳里區,臺南市私立泑潛幼兒園,(06)7222343,[722]臺南市佳里區文新里10鄰安西134號,139,1988/09/01,府教國字第102370號,私立
280,學甲區,臺南市私立諾貝爾幼兒園,(06)7836622,[726]臺南市學甲區慈福里13鄰中華路二段283號,120,1997/11/05,府教國字第193932號,私立
281,學甲區,臺南市慈母非營利幼兒園(財團法人臺南市私立天主教伯利恆社會福利基金會申請辦理),(06)7835953,[726]臺南市學甲區新達里5鄰華宗路517號,105,1992/09/07,府教國字第121070號,私立
282,學甲區,臺南市私立法源幼兒園,(06)7835703,[726]臺南市學甲區新達里6鄰法源路27號,200,1975/06/19,府社福字第64655號,私立
283,西港區,臺南市私立吉姆大秝荳幼兒園,(06)7951607,[723]臺南市西港區西港里1鄰27-26號,70,1978/11/04,府社福字第122541號,私立
284,西港區,臺南市私立福祺幼兒園,(06)7952436,[723]臺南市西港區慶安里4鄰中州27-1號,170,1995/01/19,府社福字第9708號,私立
285,西港區,臺南市私立華芃幼兒園,(06)7959787,[723]臺南市西港區慶安里18鄰新興街169巷13號,66,2010/07/23,府教特字第0990184098號,私立
286,西港區,臺南市私立西港意文幼兒園,(06)7954003,[723]臺南市西港區慶安里35鄰中山路77號,60,1998/03/31,府教國字第056323號,私立
287,西港區,臺南市私立哈佛人文藝術幼兒園,(06)7957371,[723]臺南市西港區慶安里8鄰新興街107巷50號,324,1999/07/17,府教國字第126078號,私立
288,七股區,臺南市七股區農會附設臺南市私立七農非營利幼兒園（臺南市政府核准申請辦理）,(06)7871711#312,[724]臺南市七股區大埕里1鄰272號,131,1970/01/01,府社福字第175604號,私立
289,北門區,臺南市北門區農會附設臺南市私立幼兒園,(06)7860472,[727]臺南市北門區北門里21鄰118-1號,120,2003/11/05,府社福字第0920188115號,私立
290,新化區,臺南市私立萌芽希望種籽幼兒園,(06)5907850,[712]臺南市新化區武安里13鄰健康路1號,35,2010/11/08,府社福字第0990285230號,私立
291,新化區,臺南市私立新化維妮幼兒園,(06)5905676,[712]臺南市新化區武安里3鄰和平街85號,75,2015/10/13,南市教特(一)字第1040977848號,私立
292,新化區,臺南市私立美士堡幼兒園,(06)5802099,[712]臺南市新化區東榮里21鄰復興路187巷9號,588,2000/03/08,府教國字第037021號,私立
293,新化區,臺南市私立吉姆幼兒園,(06)5903913,[712]臺南市新化區東榮里22鄰中興路755-1號,105,2003/05/05,府社福字第0920071799號,私立
294,新化區,臺南市私立銘幼幼兒園,(06)5985216,[712]臺南市新化區太平里4鄰中正路562號,170,2000/06/19,府社福字第96057號,私立
295,新化區,臺南市私立育善幼兒園,(06)5985428,[712]臺南市新化區太平里11鄰正新北路19號、21號、29號,210,1999/03/24,府社福字第49975號,私立
296,新化區,臺南市私立聖名幼兒園,(06)5982235,[712]臺南市新化區協興里4鄰中山路532號,90,1978/11/25,府教國字第120361號,私立
297,善化區,臺南市私立善化華盛頓幼兒園,(06)5853718,[741]臺南市善化區光文里25鄰公園路85號,148,2004/10/11,府社福字第0930194402號,私立
298,善化區,臺南市私立灣裡街幼兒園,(06)5837047,[741]臺南市善化區光文里9鄰光文路3號,250,2004/08/09,府社福字第0930147617號,私立
299,善化區,臺南市私立慧慈幼兒園,(06)5817144,[741]臺南市善化區文昌里7鄰文昌路65-6號,180,1982/07/14,府教國字第68735號,私立
300,善化區,台灣積體電路製造股份有限公司職工福利委員會附設臺南市私立台積電幼兒園,(06)5092011,[741]臺南市善化區南關里7鄰南科七路18號,180,2008/01/18,府社福字第0970016928號,私立
301,善化區,臺南市私立東東幼兒園,(06)5810988,[741]臺南市善化區南關里5鄰永安路91巷4號,150,1996/07/20,府社福字第123904號,私立
302,善化區,臺南市私立聖保羅幼兒園,(06)5811688,[741]臺南市善化區西關里13鄰興農路75號,197,1999/03/10,府教國字第40890號,私立
303,善化區,臺南市私立愛力特幼兒園,(06)5810471,[741]臺南市善化區胡家里20鄰100號,60,1997/08/25,府教國字第149655號,私立
304,新市區,臺南市私立愛迪生幼兒園,(06)5999313,[744]臺南市新市區新市里16鄰中正路323巷22弄2號,120,1997/07/28,府教國字第131823號,私立
305,新市區,臺南市私立德林國學幼兒園,(06)5896306,[744]臺南市新市區新市里12鄰中正路301巷15弄23號,266,2001/05/23,府教特字第075177號,私立
306,新市區,臺南市私立活水樹谷幼兒園,(06)5897396#2,[744]臺南市新市區豐華里5鄰活水路11號,300,2019/03/20,南市教特(一)字第1080308853號,私立
307,新市區,臺南市私立南科國際幼兒園,(06)5050188,[744]臺南市新市區三舍里9鄰大順六路8號,150,2003/09/12,府教特字第0920154006號,私立
308,新市區,臺南市私立麥迪兒南科幼兒園,(06)5053586,[744]臺南市新市區三舍里9鄰大順三路125號,65,2008/01/22,府社福字第0970021470號,私立
309,新市區,臺南市私立心之寶幼兒園,(06)5998100,[744]臺南市新市區大營里13鄰大營131-51號,70,1998/08/24,府社福字第150359號,私立
310,新市區,臺南市私立愛心幼兒園,(06)5998635,[744]臺南市新市區潭頂里14鄰537-13號,60,1997/09/25,府社福字第169931號,私立
311,新市區,臺南市私立新寶幼兒園,(06)5011671,[744]臺南市新市區港墘里6鄰民族路182號,90,1998/11/18,府社福字第205871號,私立
312,新市區,臺南市私立蕃茄幼兒園,(06)5972567,[744]臺南市新市區永就里9鄰永就94-6號,150,1999/12/21,府教國字第217122號,私立
313,安定區,臺南市私立筑園幼兒園,(06)5924237,[745]臺南市安定區蘇林里19鄰224-2號,25,1999/05/31,府社福字第94602號,私立
314,安定區,臺南市私立活水幼兒園,(06)5925088,[745]臺南市安定區港尾里10鄰港子尾54-5號,390,2001/11/01,府社福字第163681號,私立
315,安定區,臺南市私立小博士幼兒園,(06)5922090,[745]臺南市安定區港尾里3鄰15-12號,130,2000/12/15,府社福字第203713號,私立
316,安定區,臺南市私立倍幼安幼兒園,(06)5933615,[745]臺南市安定區中榮里2鄰17-3號,150,2000/12/26,府教特字第207118號,私立
317,安定區,臺南市私立慈暉幼兒園,(06)5934028,[745]臺南市安定區港口里14鄰332-4號,241,1980/07/31,府教國字第84841號,私立
318,安定區,臺南市私立米琪幼兒園,(06)5930216,[745]臺南市安定區港南里3鄰港口20-1號,80,1999/01/27,府社福字第15555號,私立
319,安定區,台南縣幼兒托育職業工會附設臺南市私立直加弄非營利幼兒園(臺南市政府委託辦理),(06)5939599,[745]臺南市安定區大同里6鄰46-2號,152,2014/07/25,南市教特(一)字第1030708829號,私立
320,山上區,臺南市私立德成幼兒園,(06)5783386,[743]臺南市山上區新莊里6鄰大庄1-70號,150,2007/02/14,府教特字第0960037606號,私立
321,玉井區,臺南市私立貝兒幼兒園,(06)5741287,[714]臺南市玉井區玉田里40鄰中華路232號,100,2003/11/25,府社福字第0920200179號,私立
322,玉井區,臺南市私立德蕾幼兒園,(06)5747195,[714]臺南市玉井區玉田里18鄰民生路432號,90,1979/06/29,府教國字第71414號,私立
323,玉井區,臺南市私立玉沙幼兒園,(06)5747534,[714]臺南市玉井區沙田里1鄰3-3號,145,1998/02/24,府社福字第032854號,私立
324,楠西區,臺南市私立吉兒堡幼兒園,(06)5752297,[715]臺南市楠西區楠西里4鄰民族路135號,48,2000/11/21,府教特字第188570號,私立
325,楠西區,臺南市私立佳安幼兒園,(06)5751626,[715]臺南市楠西區東勢里17鄰信義路57巷40號,120,2000/08/31,府社福字第139706號,私立
326,南化區,臺南市私立寶貝熊幼兒園,(06)5771630,[716]臺南市南化區南化里4鄰南化47-6號,35,2008/03/07,府社福字第0970052525號,私立
327,仁德區,臺南市私立聖母幼兒園,(06)2715103,[717]臺南市仁德區土庫里8鄰土庫路26號,120,1979/02/19,府教國字第17170號,私立
328,仁德區,臺南市私立惠群太子幼兒園,(06)2723511,[717]臺南市仁德區土庫里9鄰太子二街46號,90,1999/03/20,府社福字第47923號,私立
329,仁德區,臺南市私立聖宜幼兒園,(06)2791572,[717]臺南市仁德區仁德里3鄰仁德五街6號,140,1995/10/28,府教國字第176278號,私立
330,仁德區,私立中華醫事科技大學附設臺南市幼兒園,(06)2671214#910,[717]臺南市仁德區仁德里19鄰文華一街89號,120,2001/10/02,府社福字第145105號,私立
331,仁德區,臺南市私立仁義幼兒園,(06)2794392,[717]臺南市仁德區仁義里41鄰中正路二段936巷14號,60,1975/06/23,府教國字第60254號,私立
332,仁德區,臺南市私立育昇幼兒園,(06)2794441,[717]臺南市仁德區仁義里17鄰義林二街116號,90,2001/06/05,府教特字第81495號,私立
333,仁德區,臺南市私立大宗幼兒園,(06)2704029,[717]臺南市仁德區仁義里20鄰中山路328巷11弄2號,75,1987/11/23,府教國字第138456號,私立
334,仁德區,財團法人中華民國佛教慈濟慈善事業基金會附設臺南市私立台南大愛幼兒園,(06)2493578,[717]臺南市仁德區仁義里2鄰仁義路226號,140,2002/07/19,府社福字第0910115876號,私立
335,仁德區,臺南市私立明日之星幼兒園,(06)2796855,[717]臺南市仁德區仁義里2鄰仁義三街275號,105,2014/08/13,南市教特(一)字第1030732965號,私立
336,仁德區,臺南市私立維也納幼兒園,(06)2798432#5,[717]臺南市仁德區新田里7鄰新田一街61巷46號,220,1999/06/10,府教國字第101388號,私立
337,仁德區,臺南市私立小咪咪幼兒園,(06)2903311,[717]臺南市仁德區後壁里34鄰德洋路83號,120,2004/09/15,府社福字第0930175292號,私立
338,仁德區,臺南市私立熊寶寶幼兒園,(06)2901357,[717]臺南市仁德區後壁里33鄰德洋二街39巷16弄30號,90,1998/05/29,府教國字第93824號,私立
339,仁德區,臺南市私立愛迪堡幼兒園,(06)2798150#0000,[717]臺南市仁德區上崙里23鄰德崙路120號,240,1997/07/07,府教國字第117693號,私立
340,仁德區,嘉藥學校財團法人嘉南藥理大學附設臺南市私立嘉藥幼兒園,(06)2667331,[717]臺南市仁德區保安里11鄰二仁路一段60號,160,1995/05/12,府社福字第75032號,私立
341,仁德區,臺南市私立甜蜜幼兒園,(06)2672128,[717]臺南市仁德區成功里19鄰成功二街100號,60,1984/08/09,府教國字第86656號,私立
