行政區,類型,學校,2歲,3歲,4歲,5歲,3-5歲,簡章下載,電話
北區,準公共,天資幼兒園,39,37,29,14,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A9%E8%B3%87%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2500136,
北區,準公共,向日葵幼兒園,22,37,25,6,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%90%91%E6%97%A5%E8%91%B5%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3582623,
左鎮區,公幼,左鎮國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B7%A6%E9%8E%AE%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5731019#20,
左鎮區,公幼,光榮實驗小學附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%85%89%E6%A6%AE%E5%AF%A6%E9%A9%97%E5%B0%8F%E5%AD%B8%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5731658#207,
永康區,公幼,永康勝利國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B0%B8%E5%BA%B7%E5%8B%9D%E5%88%A9%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3130011#853,
永康區,公幼,永康國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B0%B8%E5%BA%B7%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2324462#710,
永康區,公幼,大灣國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E7%81%A3%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2719024#703,
永康區,公幼,西勢國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%A5%BF%E5%8B%A2%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2712841#201,
永康區,公幼,永康復興國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B0%B8%E5%BA%B7%E5%BE%A9%E8%88%88%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3111569#610,
永康區,公幼,龍潭國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%BE%8D%E6%BD%AD%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2032014#205,
永康區,公幼,大橋國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E6%A9%8B%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2033001#716,
永康區,公幼,崑山國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B4%91%E5%B1%B1%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2711640#765,
永康區,公幼,五王國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BA%94%E7%8E%8B%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2336842#700,
永康區,公幼,三村國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%89%E6%9D%91%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2531850#300,
永康區,公幼,永信國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B0%B8%E4%BF%A1%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2320783#901,
永康區,非營利,永仁非營利幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B0%B8%E4%BB%81%E9%9D%9E%E7%87%9F%E5%88%A9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3122552,
永康區,準公共,資優生幼兒園,80,8,3,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%B3%87%E5%84%AA%E7%94%9F%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2030458,
永康區,準公共,卓越幼兒園,48,16,5,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%8D%93%E8%B6%8A%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2316551,
永康區,準公共,青蘋果幼兒園,30,40,20,3,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%9D%92%E8%98%8B%E6%9E%9C%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3021305,
永康區,準公共,聖心幼兒園,11,18,13,14,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%81%96%E5%BF%83%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2710096,
永康區,準公共,輔仁幼兒園,44,16,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%BC%94%E4%BB%81%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2714086,
永康區,準公共,愛幼幼兒園,45,12,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%84%9B%E5%B9%BC%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2729123,
永康區,準公共,中華幼兒園,8,19,12,10,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%AD%E8%8F%AF%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3026529,
永康區,準公共,幼華幼兒園,15,6,9,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B9%BC%E8%8F%AF%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2322576,
永康區,準公共,艾迪斯幼兒園,16,28,10,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%89%BE%E8%BF%AA%E6%96%AF%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2530325,
永康區,準公共,上恩幼兒園,23,27,10,10,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%B8%8A%E6%81%A9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2057007,
永康區,準公共,幼幼世界幼兒園,4,6,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B9%BC%E5%B9%BC%E4%B8%96%E7%95%8C%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2737977,
永康區,準公共,永康文心幼兒園,37,4,5,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B0%B8%E5%BA%B7%E6%96%87%E5%BF%83%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2711994,
永康區,準公共,永強繪本藝術幼兒園,45,19,1,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B0%B8%E5%BC%B7%E7%B9%AA%E6%9C%AC%E8%97%9D%E8%A1%93%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2723287,
永康區,準公共,育智幼兒園,23,23,15,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%82%B2%E6%99%BA%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2732286,
永康區,準公共,非凡幼兒園,46,2,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%9D%9E%E5%87%A1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2315935,
永康區,準公共,英格堡幼兒園,0,4,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%8B%B1%E6%A0%BC%E5%A0%A1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2029077,
永康區,準公共,萊恩幼兒園,32,10,9,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%90%8A%E6%81%A9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2326894,
永康區,準公共,派樂特幼兒園,45,38,30,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B4%BE%E6%A8%82%E7%89%B9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3037788,
永康區,準公共,敦煌幼兒園,37,9,4,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%95%A6%E7%85%8C%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3133266,
永康區,準公共,智全幼兒園,25,2,9,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%99%BA%E5%85%A8%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2322762,
永康區,準公共,新生代幼兒園,8,9,3,4,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%96%B0%E7%94%9F%E4%BB%A3%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3128797,
永康區,準公共,傑登幼兒園,53,2,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%82%91%E7%99%BB%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3115651,
永康區,準公共,至真幼兒園,46,32,9,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%87%B3%E7%9C%9F%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2015093,
永康區,準公共,吉得堡幼兒園,6,10,7,4,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%90%89%E5%BE%97%E5%A0%A1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2718404,
永康區,準公共,凱迪斯幼兒園,21,9,7,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%87%B1%E8%BF%AA%E6%96%AF%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2037917,
永康區,準公共,優學幼兒園,42,12,2,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%84%AA%E5%AD%B8%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2733524,
永康區,準公共,童園幼兒園,28,26,5,2,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%AB%A5%E5%9C%92%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2731561,
永康區,準公共,傑尼爾幼兒園,44,30,21,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%82%91%E5%B0%BC%E7%88%BE%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3127138,
永康區,準公共,第一堡幼兒園,28,23,4,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%AC%AC%E4%B8%80%E5%A0%A1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3115441,
永康區,準公共,愛森堡幼兒園,36,35,12,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%84%9B%E6%A3%AE%E5%A0%A1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2015085,
永康區,準公共,星堡幼兒園,15,17,1,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%98%9F%E5%A0%A1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-3038535,
永康區,準公共,英格爾幼兒園,0,47,0,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%8B%B1%E6%A0%BC%E7%88%BE%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2029017,
玉井區,公幼,層林國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B1%A4%E6%9E%97%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5745379#106,
玉井區,公幼,玉井國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%8E%89%E4%BA%95%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5742047#201,
玉井區,準公共,貝兒幼兒園,7,0,2,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%B2%9D%E5%85%92%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5741287,
玉井區,準公共,德蕾幼兒園,16,6,5,5,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%BE%B7%E8%95%BE%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5747195,
玉井區,準公共,玉沙幼兒園,26,16,5,5,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%8E%89%E6%B2%99%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-5747534,
白河區,公幼,竹門國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%AB%B9%E9%96%80%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6852097,
白河區,公幼,白河國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%99%BD%E6%B2%B3%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6852177#2003,
白河區,公幼,玉豐國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%8E%89%E8%B1%90%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6852524#14,
白河區,公幼,內角國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%85%A7%E8%A7%92%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6817363#18,
白河區,公幼,河東國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%B2%B3%E6%9D%B1%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6852896,
白河區,公幼,大竹國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%A4%A7%E7%AB%B9%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6852508#11,
白河區,公幼,仙草實驗小學附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E4%BB%99%E8%8D%89%E5%AF%A6%E9%A9%97%E5%B0%8F%E5%AD%B8%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6852606,
白河區,準公共,金典幼兒園,18,21,11,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%87%91%E5%85%B8%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6830033,
白河區,準公共,舉人幼兒園,7,6,4,2,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%88%89%E4%BA%BA%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6830201,
白河區,準公共,日光幼兒園,6,6,6,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%97%A5%E5%85%89%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-6856811,
安平區,公幼,安平國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%AE%89%E5%B9%B3%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2955086#9,
安平區,公幼,臺南市立第三幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%87%BA%E5%8D%97%E5%B8%82%E7%AB%8B%E7%AC%AC%E4%B8%89%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2287047,
安平區,公幼,新南國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E6%96%B0%E5%8D%97%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2973363#801,
安平區,公幼,石門國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%9F%B3%E9%96%80%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2292498,
安平區,公幼,億載國小附設幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%84%84%E8%BC%89%E5%9C%8B%E5%B0%8F%E9%99%84%E8%A8%AD%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2932371#713,
安平區,非營利,市政府員工子女非營利幼兒園,,,,,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%B8%82%E6%94%BF%E5%BA%9C%E5%93%A1%E5%B7%A5%E5%AD%90%E5%A5%B3%E9%9D%9E%E7%87%9F%E5%88%A9%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2999391,
安平區,準公共,立家幼兒園,0,12,3,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E7%AB%8B%E5%AE%B6%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2979450,
安平區,準公共,喬登幼兒園,10,3,2,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%96%AC%E7%99%BB%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2996633,
安平區,準公共,傑仕堡幼兒園,12,11,4,3,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%82%91%E4%BB%95%E5%A0%A1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2411098,
安平區,準公共,聖德幼兒園,22,4,2,3,,https://kid.tn.edu.tw/KidsAll/PDF/%E8%81%96%E5%BE%B7%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2232760,
安平區,準公共,金城幼兒園,14,10,12,0,,https://kid.tn.edu.tw/KidsAll/PDF/%E9%87%91%E5%9F%8E%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2970055,
安平區,準公共,安平精英幼兒園,57,0,0,1,,https://kid.tn.edu.tw/KidsAll/PDF/%E5%AE%89%E5%B9%B3%E7%B2%BE%E8%8B%B1%E5%B9%BC%E5%85%92%E5%9C%92114%E5%AD%B8%E5%B9%B4%E5%BA%A6%E6%8B%9B%E7%94%9F%E7%B0%A1%E7%AB%A0.pdf,06-2950260,
